,rank,player_name,positions,organization,eta,comp,prime_skills,ranking_explanation,previous_rank,CH_grade,CU_grade,Command_grade,FA_grade,FA2 (92-94 mph)_grade,FA2 (93-97 mph)_grade,FA2/FS (92-96 mph)_grade,FA4 (93-96 mph)_grade,FA4 (94-100 mph) w/ arm side run_grade,FC_grade,FS_grade,KC_grade,Kick CH (84-89 mph)_grade,SI_grade,SL_grade,ST_grade,SW_grade
0,3,Chase Burns,SP,Reds,Debuted,Hunter Greene / Dylan Cease mash up,"Insane fastball / slider combo that could be one of the best in baseball.  Burns just went on the IL with a flexor strain, but the Reds had already been talking about limiting the workload and it sounds like he avoided a serious injury and could be throwing again shortly, though word is he may not come back this season still as a precaution.  The fastball / slider combo is downright dirty for Burns, by major league Stuff+ he has the fifth best fastball in baseball, a top 10 sinker (he’s only thrown 4, all above 100 mph) and the fourth best slider in baseball.","Burns is putting up some ridiculous numbers through his debut and had a successful climb through the minors reminiscent of Paul Skenes.  Burns is slated as a top 10 dynasty starter for me and a top 15 re-draft starter.  While there are a number of pitching prospects I like, none have the elite stuff of Chase Burns.",5,45/50,40/40,50/55,70/70,,,,,,,,,,,70/80,,
1,8,Nolan McLean,SP,Mets,Debuted,Tanner Bibee / Luis Severino mash,"McLean is focusing on pitching for the first year of his minor league career and we are seeing an uptick in the effectiveness of his stuff.  His arsenal includes a mediocre mid 90s fastball (that tops out at 98), a potential elite late breaking vertical sweeper with a unique hard cut at the tail end of the pitch with a sinker that sits in the mid 90s and had a 75% GB% in AAA along with an 88-90 mph cutter with slider break, an 85-88 mph changeup and a low 80s big hooking curve that is his best swing and miss pitch.","McLean has improved as he has climbed the ranks with each outing even into the majors where he has gotten even better by using his expanded arsenal rather than one or two elite pitches to go from a thrower with interesting stuff to a high end pitcher with a phenomenal approach, but lacks the elite level pitches of Chase Burns.",41,50/55,65/70,55/60,55/65,,,,,,60/65,,,,60/65,,,50/55
2,15,Thomas White,SP,Marlins,Mid/Late 2026,Carlos Rodon Arsenal / Big Nick Lodolo Mechanics mash up,"White is a big 6’ 5” lefty who I saw live both in A ball last year and in the Spring Breakout game this spring with noticeable differences in his repertoire that has made his stuff very impressive, while he needs to work on harnessing the command.  He throws from an under ¾ arm-slot, though not quite side-arm and has some ridiculous stuff. Over the last season the fastball added about an inch of horizontal run to it while maintaining velocity.  He also added a sweeper to the arsenal against a vertical gyro slider, while his old slider was almost a slurve with a lot of loop at a slower 80 mph.  The new duel slider combo was not super effective in the limited 2025 data we have through only two AAA starts and it’s important to know when referencing the above data the slider will be skewed as its combining the 2024 slurve version of the pitch with the 2025 hard vertical gyro version of the pitch into one data set.  The sweeper is only a 2025 pitch with a great 2-plane movement profile and more velocity than the old slurve.","White is my top non-debuted starter at this point in time and it will be interesting to see how quickly the Marlins move him this year.  I would assume he spends the majority of the year at AAA and he possibly comes up around the trade deadline or in September, but if the Marlins wanted to push some chips in this year he and Snelling could both be up early in an attempt to actually win some ball games this year.  The command could lead to some bad games from White, but I think the stuff is so good the higher walk rate won’t overly affect him and we could ultimately get some Dylan Cease like outcomes from the left side.",17,55/60,,35/45,60/65,,,,,,,,,,,50/55,65/70,
3,18,Trey Yesavage,SP,Blue Jays,Debuted,Righty Clayton Kershaw light w/ a splitter,"Big righty with a super over-the-top trebuchet like delivery that throws a solid fastball, slider, cutter and changeup combo.  Yesavage has an above average 13.2 SwStr% on the fastball with a ridiculous 12.1” of vertical break (not including gravity), but his most impressive pitch is the slider (also sometimes labeled a cutter due to its tight break) which has a 29.2 SwStr% on the season in the minors and a 16.2 SwStr% in the majors.  The splitter had an insane 34.1% SwStr% in the minors and 31.7 SwStr% in the majors and is located well for an infamously tough pitch to command.","Yesevage slid in the draft compared to where a lot of the draft guys thought he would go and I get it, that arm slot could lead to some shoulder troubles in the future, but he has been dominant enough this season to receive a huge bump in the rankings and I’m a fan of the stuff since he has an effective four pitch mix that generates a near 50% GB rate. The Jays have been pretty safe with him this year as he has rarely surpassed 75 pitches in a game in one of the most impressive workups you will ever see starting in low A and climbing every level of the minors to debut at the end of the season and play a huge role in the playoffs.  I’m a big fan and think he’s for sure a #2 starter on almost any team, but hitters will always get the nod over pitchers which is why he doesn’t end up higher in my rankings.",30,,45/50,40/50,55/60,,,,,,,70/70,,,,55/60,,
4,24,Robby Snelling,SP,Marlins,Early 2026,Jesus Luzardo-light,"The ¾ arm-slot helps create a lot of deception between his fastball and slider, which he repurposed this year  to make the sweeping curve his primary breaker and also improved the change up.  Snelling was only hitting 93 on the fastball last year and dialed it up to 95-97 this year (keep in mind the above data is 2024/2025 combined), we forget how young he was in 2023 when he first broke out.  His change up is also up a couple ticks from 86 mph last year to 88-89 this year.  The sweeper/curve is up to an average of about 83 MPH and that’s what the majority of his Ks seem to come on, while he’s dotting the fastball to an over 60% strike rate (which is ridiculous command) and an over 20% swinging strike rate.","Snelling won Baseball America’s 2023 Minor League Pitcher of the Year; then followed it up with a roller coaster of a 2024 where he was terrible with the Padres until the Marlins acquired him and everything changed.  The improvement was drastic as soon as the Marlins acquired Snelling and then he added velocity in the offseason, while also changing his primary breaker.",26,50/60,60/65,55/60,65/70,,,,,,,,,,,40/45,,
5,26,Jonah Tong,SP,Mets,Debuted,Tim Lincecum,"Tong has some tricky IVB on a sinking mid to high 90s fastball, a big curve that drops right in on hitters from a high over the top arm slot from a smaller 6’ 1”, 180 pound frame.  He also pairs these with a decent back pocket change up and a hard vertical slider to bridge between the fastball and curve.  The command has been pretty steady of late and didn’t falter in his first AAA start, which is a task on its own - Tong has been phenomenal this season with a 1.73 SIERA (JA ERA) prior to his major league promotion.  The fastball grades so well based on ride and in his first AAA start generated a 20% SwStr%.  The changeup is a vulcan grip change up that is pretty nasty with a 25.8% SwStr% in his first AAA start.","His success largely depends on having at least average command of his pitches - which the command issues may be a thing of the past at this point and the biggest concern now is how his shoulder will hold up based on a slight frame and a super over the top arm slot that could lead to injury and the fact that his pitches are primarily north and south, he would benefit from a pitch that breaks east to west if he could develop a sweeper or traditional 2-plane slider.",39,50/60,55/55,40/45,65/65,,,,,,,,,,,40/50,,
6,27,Kade Anderson,SP,Mariners,Mid/Late 2026,Max Fried,"Anderson has an arsenal th at is across the board plus, against some of the other guys in the class that were elite one or two pitches without the full arsenal to do damage, but is a leaner 6’2” lefty that gives me some Max Fried vibes despite needing work on the command.  He has a fastball with up to 20” of vert on it that had the second best whiff% on it in the draft class to Liam Doyle’s fastball, a 2-plane slider, a nasty diving curve and a change up with some nice fade.","Tong gets the edge over Anderson after absolutely dominating the minors, though I do like Anderson’s arsenal, arm-slot and overall package better than Tong as it just seems to be much more traditionally sustainable.  Anderson needs to prove it some in pro ball and once he does should start moving up the rankings.",28,50/60,55/60,45/55,60/60,,,,,,,,,,,55/60,,
7,32,Payton Tolle,SP,Red Sox,Debuted,Young Tarik Skubal light still developing pitches around the fastball,"Tolle has given up some damage, but has been great despite some homer issues earlier in the season.  He’s a huge lefty who gets up to 98 MPH on the fastball with a ridiculous 20.4 SwStr% on it at AAA this year thanks to elite extension (only surpassed by Tyler Glasnow and Logan Gilbert in the majors), he also has a potential above average hard sweeper, a developing potentially plus change up and a solid dropping cutter / arm-side sinker combo off his fastball.","Tolle has a work horse build and should get a ton of run in the Red Sox rotation in 2026 despite not currently being slated for a role.  He’s added a few pitches since the beginning of 2025, adding the necessary hard cutter which was a game changer; while the sinker and curve haven’t worked out as well - but this tells us he will constantly tinker his arsenal and may add or subtract pitches in the offseason.  Anderson gets the edge to Tolle with a more traditional arsenal and delivery, but with how quickly Tolle built up and developed new pitches, it’s not far off.",56,50/60,30/40,55/60,65/70,,,,,,50/55,,,,30/40,45/55,,
8,35,Bubba Chandler,SP,Pirates,Debuted,Luis Gil with a Zach Wheeler slider,"Big fastball and slider guy, known as a dual sport athlete who is not finally focusing on baseball rather than football.  A lot of upside here as he has never been focused only on baseball until a couple years ago; he had committed to Clemson to play QB.  He throws 98-102 MPH with between 18-22” of vertical break, a 12/6 vertical slider and a sick change up with nice fade that tunnels well and against his other two pitches, but he needs to improve the command of the offspeed pitch.  He throws from a 1-2 o’clock over the top arm angle with a smooth action and quick, whippy arm action.","Chandler has been smoked by bad command since June and one has to wonder if this is him partially just being frustrated with not getting the call as of yet after a tremendous start to the year.  The stuff is all there and I believe this is mental more than physical (which can be seen by how well he performed as soon as he was promoted), though there obviously still has to be some concern hence the drop in the rankings as the fastball, while it generates a good number of swings and misses also is hitable.",20,55/65,30/40,40/50,65/70,,,,,,,,,,,50/60,,
9,38,Andrew Painter,SP,Phillies,Early/Mid 2026,"A bigger Jacob deGrom, or a Tyler Glasnow with more control","Painter regularly touches 99 MPH on his fastball, but he hasn’t re-gained the spin on it that he had pre-TJ so it has lost some ride.  Even when I saw him at low A earlier this year, the guys down there were squaring up the fastball.  He has an excellent pitch mix and knows how to throw his changeup and breaking stuff off his fastball, those pitches have more or less returned to form sans some command, but Painter won’t be the same guy without the ride and velocity on the fastball returning to pre-TJ stuff.","Painter has not been nearly as good pre-injury throughout his rehab and when I saw him live, the fastball was pretty hitable, even at 98 MPH.  The command actually looked on-point, which is the aspect of pitching that usually has the worst result post TJ, but the breaking stuff looked sharp with the slider being his most effective pitch, while the cutter and changeup have also been solid.  Painter is still searching for his fastball and has lost a full grade of command, if not more since the TJ - nothing looks elite right now, just solid as the fastball and curve have been getting smashed.  There’s still ace upside in here, but right now he looks more like a #3.",27,55/65,45/50,45/60,45/55,,,,,,55/60,,,,,60/65,,
